ID;EN;NL;DE;FR
<{mollie}prestashop>mollie_484f5a79672cebe198ebdde45a1d672f;Gift wrapping;Cadeaupapier;Geschenkpapier;Emballage cadeau
<{mollie}prestashop>mollie_7c478959c218087ffc4ad5d96e7f66a6;Mollie;Mollie;Mollie;Mollie
<{mollie}prestashop>mollie_95b3b272e06dcc3cc2aa62f6887aebc5;Mollie Payments;Mollie Betalingen;Mollie Payments;Paiements Mollie
<{mollie}prestashop>mollie_7b00a9f51c5ed5221a71379f5022c0b8;Dear customer, your PHP version is too low. Please upgrade your PHP version to use this module. Mollie module supports PHP 5.6 and higher versions.;Beste klant, je PHP-versie is verouderd. Werk je PHP-versie bij om deze module te gebruiken. Mollie ondersteunt PHP 5.6 en hoger.;Sehr geehrter Kunde, Sie nutzen eine zu niedrige PHP-Version. Aktualisieren Sie PHP, um dieses Modul zu nutzen. Mollie unterstützt die PHP-Version 5.6 und höher.;Cher client, votre version de PHP est insuffisante. Veuillez mettre à jour votre version de PHP pour utiliser ce module. Le module Mollie est compatible avec les versions PHP 5.6 et ultérieures.
<{mollie}prestashop>mollie_46e2d06b80d816b2916f1f27492fbabd;Unable to install module;Module installeren niet mogelijk;Modul kann nicht installiert werden;Impossible d'installer le module
<{mollie}prestashop>mollie_17ab49984d8dd1dff2aa7d542505ab54;Please upgrade Mollie module.;Upgrade Mollie-module;Bitte Mollie-Modul upgraden.;Veuillez mettre à jour le module Mollie.
<{mollie}prestashop>mollie_770d85a02ce8841bd4dac97b57c7fa17;Template compilation;Template compilatie;Vorlagensammlung;Compilation du modèle
<{mollie}prestashop>mollie_b8b65041a5ab3fa85c620238bbd3f390;Never recompile template files;Template bestanden nooit opnieuw compileren;Vorlagendateien nie neu kompilieren;Ne jamais recompiler les fichiers modèle
<{mollie}prestashop>mollie_79c0d6cba080dc90b01c887064c9fc2f;Clear cache;Cache verwijderen;Cache löschen;Effacer le cache
<{mollie}prestashop>mollie_dbe2df5641344e1d14be812243f91ec5;Never clear cache files;Cachebestanden nooit verwijderen;Cache-Dateien nie löschen;Ne jamais effacer les fichiers cache
<{mollie}prestashop>mollie_d44217546130f731e1817cfe47693ebc;Rounding mode;Afrondingsmodus;Rundungsmodus;Mode arrondi
<{mollie}prestashop>mollie_843fbaec27e324378999e09cc665a7f4;Always round up (recommended);Altijd naar boven afronden (aanbevolen);Immer aufrunden (empfohlen);Toujours arrondir (recommandé)
<{mollie}prestashop>mollie_6311eb29dee3acc14071e0b1efb173f5;%s statuses:;%s statussen:;%s Status:;Statuts %s :
<{mollie}prestashop>mollie_d438a1d96c6037fccad15d7594737a84;Visual settings:;Visuele instellingen:;Visuelle Einstellungen:;Paramètres visuels :
<{mollie}prestashop>mollie_49259add73e416838e985a6bf4d0e571;Debug info:;Informatie foutopsporing:;Debug-Informationen:;Informations de débogage :
<{mollie}prestashop>mollie_c9cc8cce247e49bae79f15173ce97354;Save;Opslaan;Speichern;Sauvegarder
<{mollie}prestashop>mollie_ddadb642121242386456853538decbbf;Description cannot be empty;Beschrijving mag niet leeg zijn;Beschreibung darf nicht leer sein;La description ne peut être vide
<{mollie}prestashop>mollie_5c16da68879ccae998265f761701a3be;Wrong profile ID;Verkeerde profiel-ID;Falsche Profil-ID;Mauvais identifiant
<{mollie}prestashop>mollie_a161d8bad0bbf9a18291d25ee3477679;Profile ID cannot be empty;Profiel-ID mag niet leeg zijn;Profil-ID darf nicht leer sein;L'identifiant ne peut être vide
<{mollie}prestashop>mollie_6845df2ae38fbe2bf755ccb293d220b8;You are missing database tables. Try resetting module.;Je mist databasetabellen. Probeer de module te resetten.;Es fehlen Datenbanktabellen. Versuchen Sie, das Modul zu resetten.;Il vous manque des banques de données. Essayez de réinitialiser le module.
<{mollie}prestashop>mollie_048ef1905ff33382d7660a68a6199305;Warning: Could not retrieve update xml file from github.;Waarschuwing: kon xml-bestand update niet ophalen van github.;Warnung: Update XML-Datei von Github fehlgeschlagen.;Attention : Impossible de récupérer le fichier xml de mise à jour de github.
<{mollie}prestashop>mollie_60eba48ca8dbf57638153ff43d326c2e;You are currently using version '%s' of this plugin. The latest version is '%s'. We advice you to [1]update[/1] to enjoy the latest features. ;Je gebruikt momenteel versie '%s' van deze plugin. De laatste versie is '%s'. We raden je aan om de plugin [1]bij te werken[/1] om van de nieuwste functies gebruik te maken.;Sie verwenden aktuell Version '%s' dieses Plugins. Die neuste Version ist '%s'. Wir empfehlen Ihnen, zu [1]aktualisieren[/1], um die neusten Funktionen nutzen zu können.;Vous utilisez actuellement la version "%s" de ce plugin. La dernière version est "%s". Nous vous conseillons de [1]mettre à jour[/1] pour profiter des dernières fonctionnalités. 
<{mollie}prestashop>mollie_711d42f319398490b32cd0e2f0b8ccb8;Warning: Update xml file from github follows an unexpected format.;Waarschuwing: de update van het xml-bestand van github heeft een onverwachte indeling.;Warnung: Update XML-Datei von Github hat unerwartetes Format.;Attention : La mise à jour du fichier xml de github répond à un format inattendu.
<{mollie}prestashop>mollie_35895cff7df70dab18783453e2bd241f;Pay with %s;Betaal met %s;Zahlen mit %s;Payer avec %s
<{mollie}prestashop>mollie_66dac2278292ff24611ef8a85bc94e0d;Select your bank:;Selecteer je bank:;Wählen Sie Ihre Bank:;Sélectionnez votre banque :
<{mollie}prestashop>mollie_48fa0f621f79f451e58f200957da5b52;Choose your bank;Kies je bank:;Wählen Sie Ihre Bank aus:;Choisissez votre banque
<{mollie}prestashop>mollie_8953fb7da2299bf905b73720f611baa3;or pay by iDEAL QR;of betaal met iDEAL QR-code;oder zahlen Sie mit iDEAL QR;ou payez avec iDEAL QR
<{mollie}prestashop>mollie_961f2247a2070bedff9f9cd8d64e2650;Choose;Selecteren;Auswahl;Sélectionner
<{mollie}prestashop>mollie_ea4788705e6873b424c65e91c2846b19;Cancel;Annuleren;Abbrechen;Annuler
<{mollie}prestashop>mollie_0b135af05e690cf2fca288a143759716;Payment Fee: %1s;Commissie: %1s;Zahlungsgebühr: %1s;Frais de paiement : %1s
<{mollie}prestashop>mollie_3602f6d5ece34fdbd4ffe0a47f1a2ba4;Thank you. Your payment has been received.;Dank je wel. Je betaling is ontvangen.;Vielen Dank. Wir haben Ihre Zahlung erhalten.;Merci. Votre paiement a bien été reçu.
<{mollie}prestashop>mollie_32c86f9a2a28a9fa544b97024393633e;No payment methods found;Geen betaalmethodes gevonden;Keine Zahlungsmethoden gefunden;Aucun moyen de paiement trouvé
<{mollie}prestashop>mollie_a34a6659bceae779f28185e757abfca5;AJAX;AJAX;AJAX;AJAX
<{mollie}prestashop>mollie_74873b96b26fbcac6af3154c5dea0656;Resend payment link;Betaallink opnieuw verzenden;Zahlungslink erneut senden;Renvoyer le lien de paiement
<{mollie}prestashop>mollie_ab552f085567bbe63872c10a3596cd27;Payment error:;Fout bij betalen:;Zahlungsfehler:;Erreur de paiement :
<{mollie}prestashop>upgrade-4.0.6_9770d1f0124abb0d6a894cd79f8703b5;Awaiting Mollie payment;In afwachting van betaling door Mollie;Warten auf Mollie-Zahlung;En attente du paiement Mollie
<{mollie}prestashop>countryservice_b1c94ca2fbc3e78fc30069c8d0f01680;All;Alle;Alle;Tout
<{mollie}prestashop>paymentreturnservice_777385522ef6cc3c5ac7b39df1206e68;Your payment was not successful, please try again.;Je betaling is niet gelukt, probeer het opnieuw.;Ihre Zahlung ist fehlgeschlagen, bitte versuchen Sie es noch einmal.;Votre paiement n'a pas abouti, veuillez réessayer.
<{mollie}prestashop>mollieorderinfoservice_301b87d33063f687d14004a9014f6759;You do not have permission to refund payments;Je bent niet bevoegd om betalingen terug te betalen;Sie sind nicht befugt, Zahlungen zu erstatten;Vous n'avez pas d'autorisation de remboursements
<{mollie}prestashop>mollieorderinfoservice_8dc6945fb6b59aea38df7935cf3afb6d;You do not have permission to %s payments;Je bent niet bevoegd om betalingen te %s ;Sie sind nicht befugt, Zahlungen %s;Vous n'avez pas d'autorisation de payements %s
